beta,restart_idx,obj,D1,D7,D30,D180,rmse,h,lam,k,p,c,tau,f_share_proxy,total_act_M,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h
0.2,0,19.818939210486327,0.43459836927345863,0.24679071476437311,0.12967079267385936,0.04357208382262138,0.12705015789110888,2.1446216620964043,1.8148789636995495,0.27069984780965284,0.013286270801228964,1.0,5999.999999999995,0.08202232154913709,9.478778494714629,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.2,1,19.81917939669142,0.4340158282443099,0.2467145480610814,0.12983133105997388,0.04366326001555141,0.12705319462022463,2.145481781356386,1.8096319936080685,0.2699025156274455,0.013056147736118975,1.0,5985.920447374289,0.08202409730753045,9.470762438362001,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.2,2,19.822508988209464,0.43451474910625293,0.24691433712168365,0.12985861413286676,0.04364947153263001,0.12705871344716813,2.1444023212902805,1.8152677101398562,0.270369292900971,0.013227730819767216,1.0,5487.373843493787,0.08202159877039147,9.477559805365974,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.225,0,19.915285536024957,0.46690216554381747,0.2675196792560579,0.1398676842848535,0.046619770229261996,0.12732218762241168,2.140872275984445,2.416296616683764,0.28924685129248295,0.02372273944875048,0.717821198462258,5999.999999999995,0.09106066673282606,8.747784775465819,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.225,1,19.915308266017696,0.46688584466376576,0.267587468732523,0.13994221452612085,0.04660967861593528,0.12732302151523306,2.141140597099418,2.4184725767841875,0.2890700888730829,0.0235638737560393,0.717318102519543,5999.964293029739,0.09106029561454812,8.751008877313772,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.225,2,19.915321516349533,0.466166436541523,0.26704883062452617,0.13964255299546346,0.04654701268202949,0.12733031052752394,2.141602031411443,2.40111304664952,0.2887690976466073,0.023380355149666354,0.7235568581168934,5999.970643230952,0.09106667995081891,8.760914367346736,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.25,0,20.025727273400317,0.5171422047948859,0.30015244490201065,0.1549454751324288,0.05071502098151865,0.1276234851338277,2.136195807165053,3.560043324900343,0.3221149696735995,0.040858503086151535,0.5761951545024587,5999.999999999995,0.09976771399772029,7.847886084401284,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.25,1,20.025727391064613,0.5169998253790857,0.3000651650158505,0.15491194127440416,0.050708430838741686,0.12762355270288425,2.1361976281123316,3.556633731835189,0.32200576060007347,0.04081052054612004,0.5763723967163605,5999.999999999995,0.09976867692396886,7.849690245484403,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.25,2,20.028508845978596,0.5108596989554596,0.2967005230561477,0.15391477808651358,0.05049625304173959,0.1276352782125777,2.136181302379354,3.4246420230815233,0.3166254290551498,0.03835189641877566,0.5819300503175071,5737.677615517567,0.09980835778604336,7.931754797164962,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.275,0,20.14150752650874,0.587690776679056,0.3500570253533744,0.17767884483903057,0.056262846452508015,0.12793475670078736,2.1312720714666598,5.701231300209278,0.3746504191556463,0.06584400057022792,0.49868392723662824,5999.999999999995,0.1081542911380584,6.8184990446227,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.275,1,20.14150767646978,0.5874910841664434,0.34991866043329994,0.17762557181901717,0.05625266693632866,0.12793479761876173,2.1312761656751222,5.694772720317917,0.3744719826589431,0.0657719293686132,0.49877440998074307,5999.999999999995,0.10815552602572333,6.820714390362592,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.275,2,20.141552266233806,0.5854078838465676,0.3484745454357421,0.1770726792062084,0.05619333258317699,0.127931445106556,2.1311752991419484,5.626987249219359,0.37270696681629123,0.06522223216011,0.4995124876929513,5999.999999999995,0.10816853176264682,6.839242844373201,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.3,0,20.243375084321897,0.6983199560166039,0.44593651312641186,0.22271999598806197,0.06547554889500305,0.12818377847089626,2.1254601889902887,10.935255112043636,0.4836613865054348,0.10998102147064293,0.4405125631975032,5999.999999999995,0.11614447210476435,5.494723063235098,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.3,1,20.244714523394105,0.6906149446189702,0.4394299533799095,0.22071007102189058,0.06519243312845618,0.1282351814765896,2.1300346398072003,10.587470366244391,0.4724904543184547,0.10639946151312818,0.44048979542666244,5994.4667976450355,0.11618756829129558,5.551551358810689,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.3,2,20.25347912417372,0.6772703715923101,0.42667121660125745,0.2146862967580636,0.06419325136199003,0.12822955100296413,2.1265145855765732,9.81767557809041,0.45729071070425253,0.10137374861295122,0.44588551239940666,5393.807453943246,0.1162600863171553,5.7078470982338825,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.325,0,20.313368784346356,0.7827436843377018,0.5542013754797743,0.281462085570422,0.07523877362376677,0.12831241643903823,2.1191568444271103,18.527116171096374,0.629120902728284,0.15736636765448875,0.40830815672689935,5999.999999999995,0.12414290196927047,4.495439854661499,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.325,1,20.323779763688748,0.7576425198978425,0.5213496709990671,0.26782492243689304,0.07363256161378906,0.1283315328411045,2.1178190029406796,16.445140675961706,0.5671126511365054,0.14133867947486334,0.4081652540998433,5999.999999999995,0.12427473369846909,4.739806209873957,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.325,2,20.435137096896085,0.6462985796697267,0.40657868074021636,0.212179133286232,0.06476090276218135,0.12883645298820073,2.128612287238469,8.894038362673552,0.41374844705602665,0.08800526885232751,0.43118704963180465,4338.292546156994,0.12489645593535695,5.900470798125408,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.35,0,20.385895124497843,0.813042192634312,0.6175917594353579,0.32390076738372015,0.0811420133106168,0.12845310571313762,2.1136487769768113,24.04299730664681,0.7372033373840385,0.1859078145322003,0.39495544581073416,5999.999999999995,0.13226248170034352,4.028395459583578,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.35,1,20.395210445852516,0.8096574114423356,0.6104391280953633,0.32148516865488214,0.07986441672024064,0.12861422130956698,2.124858874316401,23.7348706205094,0.7147297045020541,0.17964444666660723,0.39151208271859755,5897.813462817177,0.13227161976482632,4.084873527565072,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.35,2,20.804414441608234,0.5651428048608508,0.35860645125979657,0.20267011685801603,0.06633111838449725,0.1298606306989803,2.1178032034236516,6.786617214925589,0.31778976124946556,0.04422222788253036,0.23668529535806793,5999.999999999995,0.13371257460404323,6.454816386752252,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
