date,platform,metric,value,source_image,extraction_run,px_per_day,extrapolated
2023-08-11,STEAM,DAU,89820.9,26-01-DAU.png,1,0.3761,False
2023-08-14,STEAM,DAU,89820.9,26-01-DAU.png,1,0.3761,False
2023-08-16,STEAM,DAU,89820.9,26-01-DAU.png,1,0.3761,False
2023-08-19,STEAM,DAU,88157.6,26-01-DAU.png,1,0.3761,False
2023-08-22,STEAM,DAU,86494.2,26-01-DAU.png,1,0.3761,False
2023-08-24,STEAM,DAU,86494.2,26-01-DAU.png,1,0.3761,False
2023-08-27,STEAM,DAU,86494.2,26-01-DAU.png,1,0.3761,False
2023-08-30,STEAM,DAU,86494.2,26-01-DAU.png,1,0.3761,False
2023-09-01,STEAM,DAU,89820.9,26-01-DAU.png,1,0.3761,False
2023-09-04,STEAM,DAU,91484.2,26-01-DAU.png,1,0.3761,False
2023-09-07,STEAM,DAU,91484.2,26-01-DAU.png,1,0.3761,False
2023-09-09,STEAM,DAU,93147.6,26-01-DAU.png,1,0.3761,False
2023-09-12,STEAM,DAU,96474.3,26-01-DAU.png,1,0.3761,False
2023-09-15,STEAM,DAU,99800.9,26-01-DAU.png,1,0.3761,False
2023-09-17,STEAM,DAU,101464.3,26-01-DAU.png,1,0.3761,False
2023-09-20,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-09-23,STEAM,DAU,104790.9,26-01-DAU.png,1,0.3761,False
2023-09-25,STEAM,DAU,113107.6,26-01-DAU.png,1,0.3761,False
2023-09-28,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2023-10-01,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2023-10-03,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2023-10-06,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2023-10-09,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2023-10-11,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2023-10-14,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2023-10-17,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2023-10-19,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2023-10-22,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2023-10-25,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2023-10-27,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2023-10-30,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2023-11-02,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2023-11-04,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2023-11-07,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2023-11-10,STEAM,DAU,108117.6,26-01-DAU.png,1,0.3761,False
2023-11-12,STEAM,DAU,104790.9,26-01-DAU.png,1,0.3761,False
2023-11-15,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-11-18,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-11-20,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-11-23,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-11-25,STEAM,DAU,103127.6,26-01-DAU.png,1,0.3761,False
2023-11-28,STEAM,DAU,104790.9,26-01-DAU.png,1,0.3761,False
2023-12-01,STEAM,DAU,104790.9,26-01-DAU.png,1,0.3761,False
2023-12-03,STEAM,DAU,108117.6,26-01-DAU.png,1,0.3761,False
2023-12-06,STEAM,DAU,109781.0,26-01-DAU.png,1,0.3761,False
2023-12-09,STEAM,DAU,113107.6,26-01-DAU.png,1,0.3761,False
2023-12-11,STEAM,DAU,111444.3,26-01-DAU.png,1,0.3761,False
2023-12-14,STEAM,DAU,109781.0,26-01-DAU.png,1,0.3761,False
2023-12-17,STEAM,DAU,109781.0,26-01-DAU.png,1,0.3761,False
2023-12-19,STEAM,DAU,108117.6,26-01-DAU.png,1,0.3761,False
2023-12-22,STEAM,DAU,104790.9,26-01-DAU.png,1,0.3761,False
2023-12-25,STEAM,DAU,101464.3,26-01-DAU.png,1,0.3761,False
2023-12-27,STEAM,DAU,101464.3,26-01-DAU.png,1,0.3761,False
2023-12-30,STEAM,DAU,101464.3,26-01-DAU.png,1,0.3761,False
2024-01-02,STEAM,DAU,101464.3,26-01-DAU.png,1,0.3761,False
2024-01-04,STEAM,DAU,109781.0,26-01-DAU.png,1,0.3761,False
2024-01-07,STEAM,DAU,111444.3,26-01-DAU.png,1,0.3761,False
2024-01-10,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-01-12,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-01-15,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-01-18,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-01-20,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-01-23,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-01-26,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-01-28,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2024-01-31,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2024-02-03,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2024-02-05,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-02-08,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-02-11,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-13,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-02-16,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-19,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-21,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-24,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-27,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-02-29,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-03-03,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-03-06,STEAM,DAU,114771.0,26-01-DAU.png,1,0.3761,False
2024-03-08,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-03-11,STEAM,DAU,116434.3,26-01-DAU.png,1,0.3761,False
2024-03-13,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-03-16,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-03-19,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-03-21,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-03-24,STEAM,DAU,118097.6,26-01-DAU.png,1,0.3761,False
2024-03-27,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-03-29,STEAM,DAU,131404.3,26-01-DAU.png,1,0.3761,False
2024-04-01,STEAM,DAU,131404.3,26-01-DAU.png,1,0.3761,False
2024-04-04,STEAM,DAU,126414.3,26-01-DAU.png,1,0.3761,False
2024-04-06,STEAM,DAU,124751.0,26-01-DAU.png,1,0.3761,False
2024-04-09,STEAM,DAU,124751.0,26-01-DAU.png,1,0.3761,False
2024-04-12,STEAM,DAU,123087.7,26-01-DAU.png,1,0.3761,False
2024-04-14,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-04-17,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-04-20,STEAM,DAU,124751.0,26-01-DAU.png,1,0.3761,False
2024-04-22,STEAM,DAU,123087.7,26-01-DAU.png,1,0.3761,False
2024-04-25,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-04-28,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-04-30,STEAM,DAU,128077.7,26-01-DAU.png,1,0.3761,False
2024-05-03,STEAM,DAU,126414.3,26-01-DAU.png,1,0.3761,False
2024-05-06,STEAM,DAU,124751.0,26-01-DAU.png,1,0.3761,False
2024-05-08,STEAM,DAU,126414.3,26-01-DAU.png,1,0.3761,False
2024-05-11,STEAM,DAU,133067.7,26-01-DAU.png,1,0.3761,False
2024-05-14,STEAM,DAU,128077.7,26-01-DAU.png,1,0.3761,False
2024-05-16,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2024-05-19,STEAM,DAU,119761.0,26-01-DAU.png,1,0.3761,False
2024-05-22,STEAM,DAU,121424.3,26-01-DAU.png,1,0.3761,False
2024-05-24,STEAM,DAU,124751.0,26-01-DAU.png,1,0.3761,False
2024-05-27,STEAM,DAU,126414.3,26-01-DAU.png,1,0.3761,False
2024-05-30,STEAM,DAU,138057.7,26-01-DAU.png,1,0.3761,False
2024-06-01,STEAM,DAU,144711.1,26-01-DAU.png,1,0.3761,False
2024-06-04,STEAM,DAU,153027.7,26-01-DAU.png,1,0.3761,False
2024-06-07,STEAM,DAU,151364.4,26-01-DAU.png,1,0.3761,False
2024-06-09,STEAM,DAU,151364.4,26-01-DAU.png,1,0.3761,False
2024-06-12,STEAM,DAU,149701.1,26-01-DAU.png,1,0.3761,False
2024-06-15,STEAM,DAU,149701.1,26-01-DAU.png,1,0.3761,False
2024-06-17,STEAM,DAU,148037.7,26-01-DAU.png,1,0.3761,False
2024-06-20,STEAM,DAU,148037.7,26-01-DAU.png,1,0.3761,False
2024-06-23,STEAM,DAU,148037.7,26-01-DAU.png,1,0.3761,False
2024-06-25,STEAM,DAU,148037.7,26-01-DAU.png,1,0.3761,False
2024-06-28,STEAM,DAU,141384.4,26-01-DAU.png,1,0.3761,False
2024-07-01,STEAM,DAU,138057.7,26-01-DAU.png,1,0.3761,False
2024-07-02,STEAM,DAU,138057.7,26-01-DAU.png,1,0.6848,False
2024-07-03,STEAM,DAU,138057.7,26-01-DAU.png,1,0.6848,False
2024-07-05,STEAM,DAU,134731.0,26-01-DAU.png,1,0.6848,False
