date,platform,metric,value,source_image,extraction_run,px_per_day,extrapolated
2024-07-02,STEAM,MAU,114410.2,26-01-MAU.png,1,0.9264,False
2024-07-03,STEAM,MAU,114410.2,26-01-MAU.png,1,0.9264,False
2024-07-04,STEAM,MAU,119118.2,26-01-MAU.png,1,0.9264,False
2024-07-05,STEAM,MAU,121472.3,26-01-MAU.png,1,0.9264,False
2024-07-06,STEAM,MAU,126180.3,26-01-MAU.png,1,0.9264,False
2024-07-07,STEAM,MAU,128534.4,26-01-MAU.png,1,0.9264,False
2024-07-09,STEAM,MAU,133242.5,26-01-MAU.png,1,0.9264,False
2024-07-10,STEAM,MAU,137950.5,26-01-MAU.png,1,0.9264,False
2024-07-11,STEAM,MAU,142658.6,26-01-MAU.png,1,0.9264,False
2024-07-12,STEAM,MAU,147366.7,26-01-MAU.png,1,0.9264,False
2024-07-13,STEAM,MAU,147366.7,26-01-MAU.png,1,0.9264,False
2024-07-14,STEAM,MAU,152074.7,26-01-MAU.png,1,0.9264,False
2024-07-15,STEAM,MAU,156782.8,26-01-MAU.png,1,0.9264,False
2024-07-16,STEAM,MAU,161490.9,26-01-MAU.png,1,0.9264,False
2024-07-17,STEAM,MAU,163844.9,26-01-MAU.png,1,0.9264,False
2024-07-18,STEAM,MAU,166199.0,26-01-MAU.png,1,0.9264,False
2024-07-19,STEAM,MAU,170907.0,26-01-MAU.png,1,0.9264,False
2024-07-20,STEAM,MAU,173261.1,26-01-MAU.png,1,0.9264,False
2024-07-21,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-23,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-24,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-25,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-26,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-27,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-28,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-29,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-30,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-07-31,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-01,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-02,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-03,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-05,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-06,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-07,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-08,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-09,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-10,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-11,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-12,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-13,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-14,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-15,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-16,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-17,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-19,STEAM,MAU,175615.1,26-01-MAU.png,1,0.9264,False
2024-08-20,STEAM,MAU,177969.1,26-01-MAU.png,1,0.9264,False
2024-08-21,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-22,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-23,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-24,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-25,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-26,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-27,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-28,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-29,STEAM,MAU,180323.2,26-01-MAU.png,1,0.9264,False
2024-08-30,STEAM,MAU,182677.2,26-01-MAU.png,1,0.9264,False
2024-08-31,STEAM,MAU,182677.2,26-01-MAU.png,1,0.9264,False
2024-09-02,STEAM,MAU,182677.2,26-01-MAU.png,1,0.9264,False
2024-09-03,STEAM,MAU,185031.3,26-01-MAU.png,1,0.9264,False
2024-09-04,STEAM,MAU,185031.3,26-01-MAU.png,1,0.9264,False
2024-09-05,STEAM,MAU,185031.3,26-01-MAU.png,1,0.9264,False
2024-09-06,STEAM,MAU,185031.3,26-01-MAU.png,1,0.9264,False
2024-09-07,STEAM,MAU,185031.3,26-01-MAU.png,1,0.9264,False
2024-09-08,STEAM,MAU,187385.3,26-01-MAU.png,1,0.9264,False
2024-09-09,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-10,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-11,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-12,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-13,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-15,STEAM,MAU,189739.3,26-01-MAU.png,1,0.9264,False
2024-09-16,STEAM,MAU,192093.4,26-01-MAU.png,1,0.9264,False
2024-09-17,STEAM,MAU,192093.4,26-01-MAU.png,1,0.9264,False
2024-09-18,STEAM,MAU,194447.4,26-01-MAU.png,1,0.9264,False
2024-09-19,STEAM,MAU,194447.4,26-01-MAU.png,1,0.9264,False
2024-09-20,STEAM,MAU,196801.4,26-01-MAU.png,1,0.9264,False
2024-09-21,STEAM,MAU,196801.4,26-01-MAU.png,1,0.9264,False
2024-09-22,STEAM,MAU,196801.4,26-01-MAU.png,1,0.9264,False
2024-09-23,STEAM,MAU,199155.5,26-01-MAU.png,1,0.9264,False
2024-09-24,STEAM,MAU,199155.5,26-01-MAU.png,1,0.9264,False
2024-09-25,STEAM,MAU,199155.5,26-01-MAU.png,1,0.9264,False
2024-09-26,STEAM,MAU,199155.5,26-01-MAU.png,1,0.9264,False
2024-09-27,STEAM,MAU,201509.5,26-01-MAU.png,1,0.9264,False
2024-09-29,STEAM,MAU,203863.5,26-01-MAU.png,1,0.9264,False
2024-09-30,STEAM,MAU,203863.5,26-01-MAU.png,1,0.9264,False
2024-10-01,STEAM,MAU,203863.5,26-01-MAU.png,1,0.9264,False
2024-10-02,STEAM,MAU,203863.5,26-01-MAU.png,1,0.9264,False
2024-10-03,STEAM,MAU,208571.6,26-01-MAU.png,1,0.9264,False
2024-10-04,STEAM,MAU,208571.6,26-01-MAU.png,1,0.9264,False
2024-10-05,STEAM,MAU,208571.6,26-01-MAU.png,1,0.9264,False
2024-10-06,STEAM,MAU,208571.6,26-01-MAU.png,1,0.9264,False
2024-10-07,STEAM,MAU,210925.7,26-01-MAU.png,1,0.9264,False
2024-10-08,STEAM,MAU,213279.7,26-01-MAU.png,1,0.9264,False
2024-10-09,STEAM,MAU,213279.7,26-01-MAU.png,1,0.9264,False
2024-10-10,STEAM,MAU,213279.7,26-01-MAU.png,1,0.9264,False
2024-10-12,STEAM,MAU,213279.7,26-01-MAU.png,1,0.9264,False
2024-10-13,STEAM,MAU,215633.7,26-01-MAU.png,1,0.9264,False
2024-10-14,STEAM,MAU,217987.8,26-01-MAU.png,1,0.9264,False
2024-10-15,STEAM,MAU,217987.8,26-01-MAU.png,1,0.9264,False
2024-10-16,STEAM,MAU,217987.8,26-01-MAU.png,1,0.9264,False
