date,model_dau
2023-02-27,129967.63782936014
2023-02-28,147588.25218953213
2023-03-01,150300.79438943323
2023-03-02,146526.7605672635
2023-03-03,139870.6549086535
2023-03-04,132123.07579271175
2023-03-05,124208.00274574055
2023-03-06,116594.40672118841
2023-03-07,109502.70522576815
2023-03-08,103016.26061400377
2023-03-09,97143.99074554826
2023-03-10,91856.1678673425
2023-03-11,87104.9427881351
2023-03-12,82835.97442931673
2023-03-13,77772.6675408546
2023-03-14,74142.42717129682
2023-03-15,70982.50278921882
2023-03-16,68172.4551805
2023-03-17,65642.29892461511
2023-03-18,63343.900645465714
2023-03-19,61241.58212239836
2023-03-20,59307.726182646955
2023-03-21,57520.32773248371
2023-03-22,55861.47891139499
2023-03-23,101115.90479949371
2023-03-24,106017.04711620783
2023-03-25,105640.79238085107
2023-03-26,103010.59960214562
2023-03-27,99416.63364876955
2023-03-28,95496.91650695214
2023-03-29,91578.26086104276
2023-03-30,83286.10561619661
2023-03-31,79156.44043108684
2023-04-01,75812.81247627485
2023-04-02,72960.73700871035
2023-04-03,70460.3941420461
2023-04-04,68229.1063745287
2023-04-05,66212.40631459757
2023-04-06,102101.14220409738
2023-04-07,105523.80067886563
2023-04-08,104744.99760960817
2023-04-09,102192.50736068921
2023-04-10,98899.10605077556
2023-04-11,95373.49470560982
2023-04-12,91874.69717759774
2023-04-13,84872.44909619796
2023-04-14,81245.49273952683
2023-04-15,78269.4275545633
2023-04-16,75704.90270908547
2023-04-17,73437.57510465434
2023-04-18,71399.4229449617
2023-04-19,69545.37125165288
2023-04-20,99186.84407813346
2023-04-21,101862.89785780689
2023-04-22,101053.99901539112
2023-04-23,98776.7686484183
2023-04-24,95888.93604910767
2023-04-25,92812.86268402664
2023-04-26,89763.50157471649
2023-04-27,83807.88571028486
2023-04-28,80660.29005062665
2023-04-29,78057.24034187308
2023-04-30,75799.71711812852
2023-05-01,73792.56221793302
2023-05-02,71979.10969621682
2023-05-03,70321.76681777158
2023-05-04,68793.87418105679
2023-05-05,67375.6312576501
2023-05-06,66051.81739607386
2023-05-07,64810.414951438615
2023-05-08,63641.728475232805
2023-05-09,62537.79562810244
2023-05-10,61491.97885562033
2023-05-11,60498.67388264229
2023-05-12,59553.09636801832
2023-05-13,58651.12240525921
2023-05-14,57789.167058164676
2023-05-15,56964.090352392144
2023-05-16,56173.12346723511
2023-05-17,55413.810041950375
2023-05-18,54683.958962792996
2023-05-19,53981.60598930875
2023-05-20,53304.98226992471
2023-05-21,52652.48828709345
2023-05-22,52022.67212524307
2023-05-23,51414.21121261234
2023-05-24,50825.89687883082
2023-05-25,50256.62121296781
2023-05-26,49705.3658149407
2023-05-27,49171.192115909056
2023-05-28,48653.233007165
2023-05-29,48150.685566794695
2023-05-30,47662.80471247217
2023-05-31,47188.89763968165
2023-06-01,66455.11386871988
2023-06-02,68681.75961990749
2023-06-03,68657.78587518766
2023-06-04,67660.8999285294
2023-06-05,66237.70746909971
