date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2023-08-11,TOTAL,1,133067.7,50986.51543007585,1,99769.65368723677
2023-08-14,TOTAL,1,133067.7,49755.02351375482,1,97359.88865478458
2023-08-16,TOTAL,1,128077.7,48995.10163113069,1,95872.88483780988
2023-08-19,TOTAL,1,128077.7,47934.33388313761,1,93797.19031412741
2023-08-22,TOTAL,1,128077.7,46956.538479666146,1,91883.8548379051
2023-08-24,TOTAL,1,128077.7,46345.270989891826,1,90687.73572188731
2023-08-27,TOTAL,1,128077.7,45482.47181346352,1,88999.42314928291
2023-08-30,TOTAL,1,131404.3,44677.78869860139,1,87424.83122001361
2023-09-01,TOTAL,1,136394.4,44170.37881406165,1,86431.93911842575
2023-09-04,TOTAL,1,139721.0,43448.69070365644,1,85019.75057724037
2023-09-07,TOTAL,1,143047.7,42770.040454808855,1,83691.7778822807
2023-09-09,TOTAL,1,136394.4,42339.43265618786,1,82849.17095805662
2023-09-12,TOTAL,1,148037.7,41723.533272539076,1,81643.98822112114
2023-09-15,TOTAL,1,158017.8,59641.514926130236,1,116705.62774039182
2023-09-17,TOTAL,1,154691.1,62164.39848146697,1,121642.36869015075
2023-09-20,TOTAL,1,158017.8,59043.131787562124,1,115534.72053083566
2023-09-23,TOTAL,1,161344.4,53278.44777603412,1,104254.47275168978
2023-09-25,TOTAL,1,176314.5,51209.152395475954,1,100205.30638380922
2023-09-28,TOTAL,1,182967.8,49012.45063181185,1,95906.8331038402
2023-10-01,TOTAL,1,182967.8,47372.08664825631,1,92696.99330247549
2023-10-03,TOTAL,1,184631.2,46465.2490406956,1,90922.5069840101
2023-10-06,TOTAL,1,186294.5,45295.36529394872,1,88633.29589981012
2023-10-09,TOTAL,1,184631.2,44292.226825515376,1,86670.36949168568
2023-10-11,TOTAL,1,186294.5,43693.745034701715,1,85499.26924088536
2023-10-14,TOTAL,1,186294.5,42879.190705653935,1,83905.36146678009
2023-10-17,TOTAL,1,189621.2,42145.74916755658,1,82470.17399341449
2023-10-19,TOTAL,1,187957.8,41694.08834624408,1,81586.37082808069
2023-10-22,TOTAL,1,186294.5,41063.8425279717,1,80353.11520163767
2023-10-25,TOTAL,1,186294.5,40482.25557916591,1,79215.07452594281
2023-10-27,TOTAL,1,186294.5,41307.12230242617,1,80829.16143938692
2023-10-30,TOTAL,1,187957.8,40729.40036709297,1,79698.68376446595
2023-11-02,TOTAL,1,187957.8,39957.625659449965,1,78188.4865161031
2023-11-04,TOTAL,1,184631.2,39526.8393220931,1,77345.53022994092
2023-11-10,TOTAL,1,167997.8,38488.643824776824,1,75314.00475005309
2023-11-12,TOTAL,1,161344.4,38187.29974254155,1,74724.33914000481
2023-11-15,TOTAL,1,163007.8,37763.30221630269,1,73894.66709828409
2023-11-18,TOTAL,1,161344.4,55821.16660185629,1,109230.02706318627
2023-11-20,TOTAL,1,158017.8,54289.68373218697,1,106233.24420313003
2023-11-23,TOTAL,1,159681.1,49525.4862196119,1,96910.73349774406
2023-11-25,TOTAL,1,163007.8,56203.98725346289,1,109979.12481016786
2023-11-28,TOTAL,1,163007.8,53676.78077939752,1,105033.92483745287
2023-12-01,TOTAL,1,163007.8,70865.70206532818,1,138668.94989238871
2023-12-03,TOTAL,1,169661.1,68998.99317211678,1,135016.20174438079
2023-12-06,TOTAL,1,171324.5,64011.506806679536,1,125256.76273874979
2023-12-09,TOTAL,1,172987.8,57571.55708057616,1,112655.16507087808
2023-12-11,TOTAL,1,172987.8,55361.16715898273,1,108329.90700742844
2023-12-14,TOTAL,1,176314.5,75364.9897711165,1,147473.08903504818
2023-12-17,TOTAL,1,169661.1,76300.70265416549,1,149304.07806234335
