event,date,is_long,window_days,n_digitized_points
S5/CantoVII,2024-10-10,False,7,4
S6/CantoVIII,2025-05-15,False,7,5
S7/CantoIX,2025-12-31,False,7,5
S5/Story,2024-10-24,False,7,5
S6/Story,2025-05-29,False,7,4
S7/Story,2026-01-14,False,7,5
WN4,2024-09-05,False,7,4
WN5,2025-01-09,False,7,5
WN6,2025-07-17,False,7,5
WN7,2025-11-06,False,7,5
Collab,2025-09-25,True,14,9
SPIKE_2024-07-25,2024-07-25,False,7,5
SPIKE_2024-08-08,2024-08-08,False,7,4
SPIKE_2024-08-22,2024-08-22,False,7,5
SPIKE_2024-10-03,2024-10-03,False,7,5
SPIKE_2024-10-19,2024-10-19,False,7,5
SPIKE_2024-11-14,2024-11-14,False,7,4
SPIKE_2024-11-23,2024-11-23,False,7,5
SPIKE_2024-12-12,2024-12-12,False,7,5
SPIKE_2024-12-26,2024-12-26,False,7,5
SPIKE_2025-01-23,2025-01-23,False,7,5
SPIKE_2025-02-06,2025-02-06,False,7,4
SPIKE_2025-02-20,2025-02-20,False,7,5
SPIKE_2025-02-28,2025-02-28,False,7,5
SPIKE_2025-03-08,2025-03-08,False,7,5
SPIKE_2025-03-20,2025-03-20,False,7,5
SPIKE_2025-05-23,2025-05-23,False,7,5
SPIKE_2025-07-31,2025-07-31,False,7,2
SPIKE_2025-08-14,2025-08-14,False,7,4
SPIKE_2025-08-28,2025-08-28,False,7,5
SPIKE_2026-01-08,2026-01-08,False,7,5
