stage,label,pred_dau,pred_mau,target_dau,target_mau
1,24-10,172183.5994254984,327050.3313945357,175024.0,327107.0
2,24-10,169234.5933118264,328451.1720745034,175024.0,327107.0
2,25-01,189568.7289411569,407137.03172191686,185661.0,408939.0
3,24-10,167163.28603659628,329491.71030883404,175024.0,327107.0
3,25-01,187820.155821042,408730.4176766953,185661.0,408939.0
3,25-05,281076.6855804828,517743.0046887168,279651.0,520084.0
4,24-10,170776.5205010719,328144.88469737896,175024.0,327107.0
4,25-01,189902.6921250625,408148.1292477033,185661.0,408939.0
4,25-05,277699.3621698485,519360.5073726644,279651.0,520084.0
4,25-10,409727.8176673084,730771.8862490535,418242.0,728973.0
5,24-10,170035.62968871603,328266.1521993858,175024.0,327107.0
5,25-01,189661.47208048787,408199.3142149788,185661.0,408939.0
5,25-05,276163.089748989,519728.1462095911,279651.0,520084.0
5,25-10,408687.2928532884,730847.9995072775,418242.0,728973.0
5,26-01,366359.76752158743,791545.0350535446,360639.0,792250.0
