stage,restart_idx,obj,log_lam,k_param,p,c,log_tau,h,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h
1,0,25.059391409642483,1.8842657734284496,0.4597752646518597,0.039896758380661,1.0,8.699514748210191,2.017457022451148,0.4700036292457356,0.35,0.05,0.85,7.600902459542082,2.14
1,1,25.059391409998145,1.884255576561345,0.4597751390192743,0.0398969810855856,1.0,8.699514748210191,2.0174597581721185,0.262364264467491,0.25,0.1,0.8,7.313220387090301,2.13
1,2,25.05939141012882,1.8842453832993304,0.4597738487673687,0.0398968489997725,1.0,8.699514748210191,2.017454252904568,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
1,3,25.059391442418256,1.884323097646946,0.4597887394903249,0.03989800742931,1.0,8.699514748210191,2.017476612653088,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
1,4,25.059400041808686,1.8829923862506748,0.4597943378317196,0.0399267066041061,1.0,8.699514748210191,2.0171843530626803,1.6094379124341005,0.5,0.1,0.5,8.006367567650246,2.2
2,0,26.7896368074022,1.6186595681211282,0.475880380495939,0.0394356956234736,1.0,8.699514748210191,2.012925776247525,0.4700036292457356,0.35,0.05,0.85,7.600902459542082,2.14
2,1,26.7896368135568,1.6186559239405298,0.4758747046832578,0.0394357131094956,1.0,8.699514748210191,2.012919524692892,0.262364264467491,0.25,0.1,0.8,7.313220387090301,2.13
2,2,26.78963686820378,1.6186426755020178,0.4758591885302884,0.0394340439338205,1.0,8.699514748210191,2.0129396504214183,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
2,3,26.7896369036924,1.618589807541138,0.4758422694615352,0.0394336203573172,1.0,8.699514748210191,2.012911320505306,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
2,4,26.805906393277333,1.6092594232594246,0.4843335556252439,0.0401873484040235,0.9995640822442732,8.695614799620468,2.005098796774321,1.6094379124341005,0.5,0.1,0.5,8.006367567650246,2.2
3,0,29.445229104817567,0.6710749653995629,0.3489282919178029,0.0299724787212109,1.0,8.699514748210191,1.872070057669652,0.262364264467491,0.25,0.1,0.8,7.313220387090301,2.13
3,1,29.445229106598266,0.6710507483885961,0.3489252798446497,0.0299724354973672,1.0,8.699514748210191,1.872068910658467,1.6094379124341005,0.5,0.1,0.5,8.006367567650246,2.2
3,2,29.445229108454555,0.6710909999745842,0.3489263090204442,0.029972036680439,1.0,8.699514748210191,1.87206979141982,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
3,3,29.4452318818088,0.6705653669660876,0.348968936540385,0.0299722909157796,1.0,8.699514748210191,1.872005867745445,0.4700036292457356,0.35,0.05,0.85,7.600902459542082,2.14
3,4,29.446209826055107,0.6896028992303249,0.3515677308350181,0.0301950379614437,0.99999999950977,8.699514748210191,1.874290029534838,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
4,0,33.48449649829356,0.3383194624654856,1.5,0.1654793191353796,1.0,5.298317366548036,1.8037171164407395,1.6094379124341005,0.5,0.1,0.5,8.006367567650246,2.2
4,1,33.484496630311355,0.3382996683940178,1.5,0.1654676960247577,1.0,5.298317366548036,1.8036838115751297,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
4,2,33.4852117501865,0.3326307901030469,1.4899179238991298,0.1652207066977723,1.0,5.298317366548036,1.8028356709223905,0.262364264467491,0.25,0.1,0.8,7.313220387090301,2.13
4,3,33.52320070329439,0.1936608081697672,0.9574026338026224,0.1628983303753544,1.0,5.298317366548036,1.8013440293586918,0.4700036292457356,0.35,0.05,0.85,7.600902459542082,2.14
4,4,34.66783201229293,-0.5639847484284188,0.2165614426902168,0.0884051845861617,1.0,5.2997623979577,1.8034293127262997,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
5,0,34.35168798198701,0.28197617689716303,1.5,0.16524523395793111,1.0,5.298317366548036,1.8271300051517434,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
5,1,34.48873997439839,-0.06709371880293089,0.7329423250125822,0.1655721939985808,1.0,5.303148698700165,1.8249719683571746,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
5,2,34.62402713238964,-0.45537299102040585,0.565892696578755,0.15631936413797684,1.0,5.298317366548036,1.8095316788511167,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
5,3,34.964911616799625,0.5227163212968722,1.491774933700122,0.15883211051013402,0.999173633841187,5.299757034721463,1.8486887397787903,1.6094379124341003,0.5,0.1,0.5,8.006367567650246,2.2
5,4,35.12639878353519,-1.1352075808153748,0.37540362060375276,0.17158159806527762,1.0,5.298317366548036,1.830531865552099,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
